LoanID,LoanAmount,InterestRate,Term,EmploymentLength,AnnualIncome,DTI,LoanStatus
1,49385,15.56095918390533,36,4,127360,13.751808072904765,1
2,17826,12.166426597756221,36,5,38344,25.012572461336077,0
3,26667,17.906613998955322,60,3,90537,29.74469381986753,0
4,43071,10.843592394101936,60,0,140877,25.9274665860658,0
5,30915,19.994921800370488,36,3,112699,19.890530092449627,1
6,34965,5.830715953793336,36,4,112772,20.236276097398516,1
7,32105,6.425351952634473,36,2,126228,11.378560239596723,1
8,48519,12.165772583510641,60,5,121798,21.39757788759784,0
9,43447,8.196322876683915,60,1,53243,18.30137565343816,1
10,20160,16.828133513269012,60,1,133382,12.873508675320178,0
11,24310,12.647751388735719,60,4,112189,29.167692962305022,1
12,21097,7.342328228424133,36,5,73699,29.540463535063775,0
13,33106,10.658803969999976,36,5,85167,15.427583675383046,0
14,8316,10.57334064654939,36,2,78318,15.200837490342893,1
15,18289,15.012274173746217,36,4,128368,18.15772412378613,1
16,10761,15.43579071837607,36,0,133936,23.20907179583564,1
17,42241,6.245646898638829,60,1,106128,24.1337142333675,0
18,20010,9.209947316304081,60,2,67599,10.80734664677858,0
19,30628,19.17963163639245,36,3,99378,10.891003696552591,1
20,39285,13.442572216298348,60,2,112959,13.862113114718928,1
21,7150,17.67621990473812,60,3,37219,21.79378786621222,1
22,9187,18.794450327385036,36,3,131995,14.040027253915405,0
23,30862,10.317678094174962,36,0,137494,26.291763609842334,1
24,34995,17.39644652461048,60,1,125558,26.510052480024562,0
25,34107,14.776678009591398,36,1,97083,15.741689438717014,0
26,23125,5.414029709918017,36,1,43650,22.852317458540497,0
27,22485,19.419988869730325,36,3,90467,21.408700949400146,0
28,35329,9.471770029020451,36,3,136846,21.956593240047,0
29,10246,8.582580917722968,36,0,102430,14.331941133860632,0
30,22603,7.304114982880573,60,1,132893,23.900889306895028,0
31,8994,9.095792997324661,36,1,100309,12.425599035322817,0
32,48638,11.783872976490894,60,2,70449,15.534194395955954,0
33,5464,19.438363381512765,36,1,79365,17.860928387743176,0
34,21914,17.618683059810305,36,3,130814,18.72824892465829,0
35,46669,13.531478307821411,36,2,49331,23.98163613934014,0
36,21909,18.335776049240856,60,4,66848,27.903985378718094,1
37,10868,19.49510495377341,36,3,124134,19.472985372017973,0
38,24358,11.709864926573385,36,2,31246,19.774634511546772,0
39,19702,5.92385204905028,36,2,113828,28.437387799930242,1
40,46870,6.673864494812923,60,5,98622,26.857368078532254,0
41,25121,13.61746270491199,36,3,120667,29.720330564404986,0
